,horizontal_difference,trial
2,8.118774414,vp16_141_Session3_d03_b03_46
0,-4.071502686,vp16_142_Session3_d03_b03_47
1,-4.071502686,vp16_142_Session3_d03_b03_47
2,-4.071502686,vp16_142_Session3_d03_b03_47
0,-13.44549561,vp16_143_Session3_d03_b03_48
1,-13.44549561,vp16_143_Session3_d03_b03_48
2,-13.44549561,vp16_143_Session3_d03_b03_48
0,28.04614258,vp16_144_Session3_d03_b04_1
1,28.04614258,vp16_144_Session3_d03_b04_1
2,28.04614258,vp16_144_Session3_d03_b04_1
0,-1.472686768,vp16_145_Session3_d03_b04_2
1,-1.472686768,vp16_145_Session3_d03_b04_2
2,-1.472686768,vp16_145_Session3_d03_b04_2
0,-13.21118164,vp16_146_Session3_d03_b04_3
1,-13.21118164,vp16_146_Session3_d03_b04_3
2,-13.21118164,vp16_146_Session3_d03_b04_3
0,10.440765380859375,vp16_147_Session3_d03_b04_4
1,10.440765380859375,vp16_147_Session3_d03_b04_4
2,10.440765380859375,vp16_147_Session3_d03_b04_4
0,-7.796051025,vp16_148_Session3_d03_b04_5
1,-7.796051025,vp16_148_Session3_d03_b04_5
2,-7.796051025,vp16_148_Session3_d03_b04_5
0,-16.21432495,vp16_149_Session3_d03_b04_6
1,-16.21432495,vp16_149_Session3_d03_b04_6
2,-16.21432495,vp16_149_Session3_d03_b04_6
0,8.408660888671875,vp16_150_Session3_d03_b04_7
1,8.408660888671875,vp16_150_Session3_d03_b04_7
2,8.408660888671875,vp16_150_Session3_d03_b04_7
0,0.848175049,vp16_151_Session3_d03_b04_8
1,0.848175049,vp16_151_Session3_d03_b04_8
2,0.848175049,vp16_151_Session3_d03_b04_8
0,-16.46313477,vp16_152_Session3_d03_b04_9
1,-16.46313477,vp16_152_Session3_d03_b04_9
2,-16.46313477,vp16_152_Session3_d03_b04_9
0,7.794677734,vp16_153_Session3_d03_b04_10
1,7.794677734,vp16_153_Session3_d03_b04_10
2,7.794677734,vp16_153_Session3_d03_b04_10
0,-1.848083496,vp16_154_Session3_d03_b04_11
1,-1.848083496,vp16_154_Session3_d03_b04_11
2,-1.848083496,vp16_154_Session3_d03_b04_11
0,-14.8946228,vp16_155_Session3_d03_b04_12
1,-14.8946228,vp16_155_Session3_d03_b04_12
