,horizontal_difference,trial
1,6.974060059,vp1_107_Session1_d01_b01_12
2,6.974060059,vp1_107_Session1_d01_b01_12
0,6.853546142578125,vp1_108_Session1_d01_b01_13
1,6.853546142578125,vp1_108_Session1_d01_b01_13
2,6.853546142578125,vp1_108_Session1_d01_b01_13
0,16.325347900390625,vp1_109_Session1_d01_b01_14
1,16.325347900390625,vp1_109_Session1_d01_b01_14
2,16.325347900390625,vp1_109_Session1_d01_b01_14
0,7.520843505859375,vp1_110_Session1_d01_b01_15
1,7.520843505859375,vp1_110_Session1_d01_b01_15
2,7.520843505859375,vp1_110_Session1_d01_b01_15
0,7.925842285,vp1_112_Session1_d01_b01_17
1,7.925842285,vp1_112_Session1_d01_b01_17
2,7.925842285,vp1_112_Session1_d01_b01_17
0,-9.7940979,vp1_113_Session1_d01_b01_18
1,-9.7940979,vp1_113_Session1_d01_b01_18
2,-9.7940979,vp1_113_Session1_d01_b01_18
0,4.188018798828125,vp1_115_Session1_d01_b01_20
1,4.188018798828125,vp1_115_Session1_d01_b01_20
2,4.188018798828125,vp1_115_Session1_d01_b01_20
0,28.68951416015625,vp1_116_Session1_d01_b01_21
1,28.68951416015625,vp1_116_Session1_d01_b01_21
2,28.68951416015625,vp1_116_Session1_d01_b01_21
3,-9.621124268,vp1_116_Session1_d01_b01_21
4,-9.621124268,vp1_116_Session1_d01_b01_21
5,-9.621124268,vp1_116_Session1_d01_b01_21
0,1.368621826171875,vp1_118_Session1_d01_b01_23
1,1.368621826171875,vp1_118_Session1_d01_b01_23
2,1.368621826171875,vp1_118_Session1_d01_b01_23
0,5.3515625,vp1_119_Session1_d01_b01_24
1,5.3515625,vp1_119_Session1_d01_b01_24
2,5.3515625,vp1_119_Session1_d01_b01_24
0,10.10522461,vp1_120_Session1_d01_b01_25
1,10.10522461,vp1_120_Session1_d01_b01_25
2,10.10522461,vp1_120_Session1_d01_b01_25
0,-7.660675049,vp1_121_Session1_d01_b01_26
1,-7.660675049,vp1_121_Session1_d01_b01_26
2,-7.660675049,vp1_121_Session1_d01_b01_26
0,-13.88864136,vp1_122_Session1_d01_b01_27
1,-13.88864136,vp1_122_Session1_d01_b01_27
2,-13.88864136,vp1_122_Session1_d01_b01_27
0,14.031402587890625,vp1_123_Session1_d01_b01_28
1,14.031402587890625,vp1_123_Session1_d01_b01_28
2,14.031402587890625,vp1_123_Session1_d01_b01_28
0,-10.21679688,vp1_124_Session1_d01_b01_29
